Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,latino_bin
6001406601,2014,8.5727997,12.6,36,0.3,15.8,20.3,3.9,12.3,18.8,0
6001406602,2014,8.5727997,11.6,15.1,1.1,32.8,22,14.8,3.3,19.1,0
6001406700,2014,8.5727997,9.3,9,0.3,11.5,12.6,0.5,5.9,7.5,0
6001406800,2014,8.5727997,9.2,16.8,1,16.9,8.5,1.9,5.1,6.4,0
6001406900,2014,8.5727997,9.8,23.9,0.6,15.6,11.2,5,6,14.8,0
6001407000,2014,8.5727997,12.8,23.6,0.3,23.8,33,11.2,7.4,22.4,0
6001407101,2014,8.5727997,14,11.2,0.7,50.5,47.2,32.2,10,37.8,1
6001407102,2014,8.5727997,11.7,19.7,0,51,35.4,27.1,12.3,20.3,1
6001407200,2014,8.6073399,12.7,6.3,0.2,73.7,46.2,42.1,9.6,35.1,1
6001407300,2014,9.2066498,10.4,10.9,0,51.7,34.7,24.9,5.7,18.8,1
6001407400,2014,8.5727997,12.5,15.1,0,70.1,50.1,37.8,13.1,29.4,1
6001407500,2014,8.5727997,15.4,35.3,0.7,46.7,46.4,28.4,10.4,38.8,1
6001407600,2014,8.5727997,12.6,45.9,0,24.3,22.9,10.2,7.4,24.6,0
6001407700,2014,8.5727997,12.1,52,0,11.1,4.9,0.6,8.8,10.8,0
6001407800,2014,8.5727997,8.1,32.1,0,22.9,12.5,2.9,5.5,6.2,0
6001407900,2014,8.5727997,9.1,16.2,0,7.9,7.7,3.3,5.5,5.8,0
6001408000,2014,8.5727997,8.1,15.7,0.3,10.5,5.7,0.8,5.7,6.4,0
6001408100,2014,8.6718502,9.5,28,0.5,8.9,4.3,0.1,3.4,3.7,0
6001408200,2014,8.5727997,11.8,52.8,1.3,17,15,6.2,8.3,16.9,0
6001408300,2014,8.5727997,12.2,39.9,0,17.9,11.3,3.6,10,20.1,0
6001408400,2014,9.2066498,16.2,46.7,0.5,34.8,32.5,20.1,10.5,41.3,1
6001408500,2014,9.2066498,14.9,39.9,0,49.7,31.6,21.9,5.9,37.2,1
6001408600,2014,9.2066498,16.4,37.9,0.3,49,36.1,24.9,11.2,38.1,1
6001408700,2014,8.5727997,14.4,42.1,0,50.7,32.5,25.2,12.3,31.9,1
6001408800,2014,9.2066498,14.5,33.7,1,53.3,44.6,30.4,11.9,38.4,1
6001408900,2014,9.2066498,15.4,34.2,0.3,54.6,33.8,29.4,11.1,45.7,1
6001409000,2014,9.2066498,13.5,37,0,48.9,26.2,26.9,10.9,23.9,1
6001409100,2014,9.2066498,15,37.2,0,43.3,40.2,21.5,4.4,30.9,1
6001409200,2014,9.2066498,13.2,38.9,3.5,43.4,31.6,19.8,8.5,19.3,1
6001409300,2014,9.2066498,14.1,27.4,0.1,61.9,34.4,28.9,13,23.5,1
6001409400,2014,9.2066498,12.5,26.8,0,58.3,34.8,26.4,8.9,30.3,1
6001409500,2014,9.2066498,13.9,22,0.3,60.1,45.4,34.4,11.4,34.2,1
6001409600,2014,9.2066498,13.7,29.2,0,63.5,42.5,32.9,11.9,28.6,1
6001409700,2014,9.2066498,14,44.5,0.2,46.5,38.2,22.2,9.6,26.4,1
6001409800,2014,9.12397,14.1,58.6,0,17.4,16.8,6.4,4.1,16.2,0
6001409900,2014,9.12397,12.3,45.3,0,16.8,3.3,1.1,8.3,5.5,0
6001410000,2014,9.12397,12.8,40,0,12.1,10.1,2.2,4.6,11.1,0
6001410100,2014,9.12397,14.2,53.7,0.1,13.3,16.5,6.3,11.5,21.6,0
6001410200,2014,9.12397,13,47.4,0,43.8,21.8,19.9,13.9,25.1,1
6001410300,2014,9.2066498,13.1,28.6,0.7,57.1,45.7,34.6,14.5,28.4,1
6001410400,2014,9.2066498,11.7,41.5,0,41.8,25.3,16.9,10.8,13,1
6001410500,2014,8.6375999,15.7,58.8,0,8.6,18.8,1.1,15.9,45.2,0
6001421100,2014,8.93608,8.8,0.5,0,3.1,1.5,0,3,5.1,0
6001421200,2014,8.93608,8.3,0.2,0.2,7,0.3,0.3,3,3.5,0
6001421300,2014,8.8025599,8,3.1,0,4.7,0,0.8,2.5,4.2,0
6001421400,2014,8.93608,7.7,3.6,0,7.4,0.8,0.3,3.4,2.8,0
6001421500,2014,8.93608,7.7,1.9,0,3.8,0.5,0,3.4,4.5,0
6001421600,2014,8.93608,7.8,1.1,0,4.2,0.7,0,4.3,9.1,0
6001421700,2014,8.93608,6.4,2.8,0,13.9,2.7,1.5,4.5,13.7,0
6001421800,2014,8.93608,6.8,1.3,0.5,7.6,1.7,0.4,3.7,4.6,0
6001421900,2014,8.8025599,7.5,7.8,0,4.6,0.9,1.2,4.1,11.3,0
6001422000,2014,8.8025599,10,17.8,0,17.6,9.6,1.5,8.1,33.2,0
6001422100,2014,8.8025599,8.1,8.9,0.7,21.8,11.3,6.3,3.8,7.7,0
6001422200,2014,8.8025599,7.5,6.1,0.3,11,5.5,3.8,4.3,11.4,0
6001422300,2014,8.93608,7.5,5.1,0,8,3.1,1.5,4.1,20.4,0
6001422400,2014,8.93608,4.4,1.4,0,7,-0.1,0.6,2.5,23.3,0
6001422500,2014,8.93608,3.8,4.5,0,11.7,4.8,1.4,3.3,29.9,0
6001422600,2014,8.93608,0.9,0.3,0,5.4,0,2.8,2.8,0,0
6001422700,2014,8.93608,2.6,3.8,0.3,16.4,1.3,2.5,7,39,0
6001422800,2014,8.93608,2.6,3,0.9,13.9,2.6,0.4,6.4,46.6,0
6001422900,2014,8.93608,4.6,8.5,0,4.9,1.9,0,5.5,43.9,0
6001423000,2014,8.93608,6.9,8.9,0.3,8.8,7.5,1.3,4.3,17.7,0
6001423100,2014,8.8025599,9.2,11.4,0.1,7.2,7.1,2.9,2.7,27.5,0
6001423200,2014,8.8025599,8.7,13.9,0.4,35.9,15,13,6.6,18,1
6001423300,2014,8.8025599,11.2,34.1,2,17.9,13.4,7.3,6.6,10.3,0
6001423400,2014,8.93608,8.7,15.4,0.1,14.7,6.8,3.9,9.1,19.2,0
6001423500,2014,8.93608,9.4,15.1,1.1,10.1,3.8,2.5,8.4,19.7,0
6001423601,2014,8.93608,6.3,0.8,0,8.5,2.3,0,5.7,15.5,0
6001423602,2014,8.93608,3.8,4.8,0,8.3,2,0.1,4.8,50.4,0
6001423700,2014,8.93608,6.4,1.3,0.6,6.5,3.5,0.8,4,33,0
6001423800,2014,8.64746,7.5,0.4,0,8.6,2.3,2.1,2.6,3.3,0
6001423901,2014,8.64746,7.4,18.5,0.4,11.6,0.7,1.2,3.7,12.6,0
6001423902,2014,8.64746,6.3,3.7,0,11,1.6,0,9.4,14.3,0
6001424001,2014,8.64746,8.8,33.2,0,19.1,12.5,7.1,6.5,24.7,0
6001424002,2014,8.4463301,11.1,38.1,0.7,20.5,10.5,3.3,5.3,22.3,0
6001427100,2014,9.2234697,8.5,5.4,0,8.8,4.8,0.9,1.2,3.4,0
6001427200,2014,8.6073399,9.4,5.1,0.3,21.1,11.4,1.2,6.1,17.7,0
6001427300,2014,8.6073399,11.5,11.6,0,12.2,18.2,2.8,8.2,13.3,0
6001427600,2014,8.6375999,10.6,19.6,0,13.6,20,2.8,8.5,30.6,0
6001427700,2014,8.6375999,9.1,8.4,0,8.6,9.6,1.5,5.2,11.5,0
6001427800,2014,8.6073399,7.8,4.7,0.6,15.3,2.6,0,6.2,10.5,0
6001427900,2014,8.6073399,7.7,4.5,0.2,13,10.4,0.7,6.1,4.3,0
6001428000,2014,9.2234697,8.1,4.5,0,17.2,11.7,7.6,8.1,14.8,0
6001428100,2014,9.2234697,8.3,2.2,0.3,16,8.4,2.2,7.1,6.6,0
6001428200,2014,9.2234697,8.8,6.6,0,13,8.6,1.8,5.6,7.8,0
6001428301,2014,9.2234697,8.5,2.2,0.2,3.5,6.2,0.9,2.9,5,0
6001428302,2014,9.2234697,8.9,2.7,0,3.9,2.1,0.3,4.3,2.1,0
6001428400,2014,9.2234697,9.5,6.8,0,15.9,10.5,2.6,6.8,9.9,0
6001428500,2014,9.2234697,9.1,5.8,0,16.1,5.1,0.5,6,11.5,0
6001428600,2014,9.2234697,9.9,9,0.7,6.1,5.5,0.6,4.6,7.2,0
6001428700,2014,8.6375999,6.6,15.3,0.6,11.5,10.2,2.1,6.7,17.8,0
6001431200,2014,8.9986696,9.9,5.7,0.3,26.2,9.4,2.9,12.7,24,0
6001432100,2014,9.12397,8.4,16.3,0.2,21.1,5.9,3.1,3.2,4.3,0
6001432200,2014,9.12397,11.8,16.4,0.2,31,13.4,8.5,4.4,11.7,0
6001432300,2014,9.2066498,9.1,10.3,0.7,36.6,14.2,14.9,7.3,11.8,1
6001432400,2014,9.1689701,11,13,0,30.6,19.7,10.5,10.2,16.4,0
6001432501,2014,9.1689701,10.8,3.8,1.3,31,23.1,10.3,8.5,14.7,0
6001432502,2014,9.1689701,10.2,14.4,0.1,28.7,20.7,10.4,8.6,7.2,0
6001432600,2014,9.0150805,10.4,15.3,0.2,32.1,14,14,6.1,11.2,0
6001432700,2014,9.12397,10.1,5.2,0,24.2,16.8,12.1,2.9,4.6,0
6001432800,2014,9.0150805,11.3,6.7,0.2,23.4,8.1,2.3,3.8,7,0
6001433000,2014,9.0150805,10.2,9.2,0.4,25.8,17.3,10.4,6.2,4.5,0
6001433102,2014,9.0150805,10.1,4.7,0.9,27.4,25.1,14,4.3,6.6,0
6001433103,2014,9.0150805,11.3,18.3,0,48.4,32.5,28.1,7.4,16.2,1
6001433104,2014,9.0150805,9.5,15.9,0.4,29.9,13.6,9.9,5.5,12,0
6001433200,2014,9.0150805,11.1,17.7,0.6,20.7,16.5,8.5,6.2,17.3,0
6001433300,2014,9.0150805,10.8,6.6,0.3,25.1,16.6,2.9,4.6,8.7,0
6001433400,2014,9.1689701,11.1,8.3,0,15,16.8,5.5,6.5,9.6,0
6001433500,2014,9.0150805,10.4,3,0.9,39,17.6,13,6.9,4.9,1
6001433600,2014,9.0150805,11.9,4.9,0.4,19.8,25.1,6.4,7.2,15.4,0
6001433800,2014,9.0150805,10.7,13.5,0,36.1,15.5,11,5.3,10.5,1
6001435102,2014,8.8695898,7.3,10.1,0.1,17.5,5.6,4.4,5,9.8,0
