Census_Tract,Year,PM2.5,Diabetes,Percent_Black_Only,Percent_American_Indian_and_Alaska_Native_Only,Percent_Hispanic,Education,Linguistic_Isolation,Unemployment,Poverty,Percent_White_Only,latino_bin
6037433302,2014,13.6655,14.1,0,0,76.4,49.2,43.2,11.3,33.4,3,1
6037433304,2014,13.6655,13.1,0.5,0.1,64.4,36.4,29.6,6,14.6,1.9,1
6037433305,2014,13.6655,12.4,0.1,0,75.2,43.7,37.2,8.6,32.3,1.1,1
6037433306,2014,13.6655,15,1.6,0,65.2,44.1,31.4,7.6,26.4,2.6,1
6037433307,2014,13.6655,11.1,0.8,0.3,57.1,33.2,22.2,5.3,20.6,4.1,1
6037433401,2014,13.6655,12.3,0,0,68.8,50.7,27.3,7,22,3.9,1
6037433402,2014,13.6655,13.4,0.1,0,65.6,57.5,37.7,2.2,25.9,2.8,1
6037433403,2014,13.6655,13.4,0,0,86.2,51,41.1,9.8,38,1.6,1
6037433504,2014,13.5932,13.6,0.1,0,77.2,59.9,44.6,4.3,23.6,2.3,1
6037433801,2014,13.6655,12.8,0,0,92.5,57.9,44,5.6,32,0.6,1
6037433901,2014,13.6655,13.1,0.5,0,71.9,52,33.9,7.9,34.2,1.8,1
6037433902,2014,13.6655,13,0.2,0.3,81.9,38.9,30.4,9.9,20.1,5.4,1
6037434001,2014,13.6655,13.3,0.3,0,86.4,46.7,38.9,11.7,18.5,2.8,1
6037434003,2014,13.6655,13,0.1,0.3,76.9,51.9,41.4,5.9,19.6,6.2,1
6037460000,2014,12.7292,9.6,3.2,0,9.8,11.1,1.6,4.5,9.3,69,0
6037460100,2014,13.4659,9.4,8.1,0,13.7,3,2,5.9,8.7,66.2,0
6037460401,2014,12.9636,13.7,41.6,0,20.6,12.9,7.6,7.4,18.8,25.1,0
6037460800,2014,12.9865,9,1.7,0,9.2,0.8,4,4.9,2.6,73.9,0
6037460900,2014,12.9636,12.6,28.6,0,56.3,28.6,26.6,6.6,17.1,7.9,1
6037461400,2014,13.4471,9.4,13.4,0,24,7.4,9.2,4.4,11,48.3,0
6037461501,2014,13.4659,10.9,20.3,0,47.6,23.7,21.6,7.4,14.3,24.8,1
6037461502,2014,13.4659,16.1,18.3,0.1,57,37.9,27,8.9,25.4,16.1,1
6037461600,2014,13.4471,13.6,23.5,0,56.3,28.6,22.4,8.4,24.9,11.4,1
6037461700,2014,12.9865,10.1,10.4,0,20.3,2.4,3,2.6,4.6,57.2,0
6037461901,2014,13.4471,10,15.2,0,62.6,31.1,22.9,10.2,24.5,13.6,1
6037461902,2014,13.4471,8.1,13.7,0,24.4,2.3,2,7.1,26.5,47.3,0
6037462001,2014,13.4471,11.6,14.4,0.1,61.9,32.7,33.3,5.8,19.1,10.1,1
6037462002,2014,13.4471,12.6,12.6,0,72.6,41.2,35.6,5.4,17.4,8.9,1
6037462100,2014,13.4471,11.3,10.6,0,60.3,27.4,27,5.8,20.6,19.8,1
6037462201,2014,13.4471,12.4,6.4,0.2,33.2,12.4,7.4,6.9,25.4,36.8,0
6037462202,2014,13.4471,5.3,9.2,0,3.7,3.1,0.3,6.4,25.2,54.6,0
6037462301,2014,13.4471,10.2,7.7,0,56.7,22.7,24.7,6.9,18.4,27.3,1
6037462302,2014,13.4471,6.8,9.3,0,17.4,3.6,1.7,4.3,17.6,32.7,0
6037462400,2014,13.4471,9.8,4.5,0.1,35.7,11.1,4.9,4.7,11.9,52.3,1
6037462500,2014,13.3842,8.3,6.8,0,15.4,5.2,2.4,7.2,8.4,62,0
6037462600,2014,13.4471,8.7,5.1,0,19.5,5.3,3.3,5.2,6,64.9,0
6037462700,2014,13.4471,8.6,7.4,0,41.9,21.6,16.4,5.1,11.1,29.4,1
6037462800,2014,13.4471,8.6,11.7,0,30.5,13.8,8.7,6.2,13.2,36.1,0
6037462900,2014,13.3842,9,7.9,0.2,25.5,9.9,5.2,4.9,7.2,44.9,0
6037463000,2014,13.3842,8.4,7.8,0,19.7,5.9,5.4,4.9,4,51,0
6037463200,2014,13.3842,10,6.8,0.3,27.3,7.8,6,9.3,11.9,46.5,0
6037463400,2014,13.4471,7.9,6,0,18.4,3.6,7,6.5,10.1,42.6,0
6037463500,2014,13.4471,5.2,2.8,0.3,16.3,1.8,3.5,4.3,12.6,43.3,0
6037463601,2014,13.4471,5.5,5.6,0,15.3,1.8,0.3,2.3,9.9,43.9,0
6037463602,2014,13.4471,6.9,9.7,0.3,16.2,6.4,1.3,7.6,21.5,45.4,0
6037463700,2014,12.9865,9,8,0,16.2,5.5,2.4,5.6,12.2,54.3,0
6037463800,2014,12.9865,8.1,4.3,0,14,1.5,2.5,4,2.8,60.7,0
6037463900,2014,12.9865,9.6,2.4,0.1,17.5,3.7,5.1,6.8,8.2,63.8,0
6037464000,2014,13.4387,7.5,2.8,0.2,17.6,4.6,1.7,3.7,5.7,57.4,0
6037480302,2014,13.4387,10.8,6.9,0,36.1,14.6,2.8,3.1,12.5,19.6,1
6037480303,2014,13.4387,9.4,2.8,1.4,41.8,8.6,6.2,8.7,19.8,7.8,1
6037480304,2014,13.4387,11.2,2.7,0.3,27.3,15.6,6.4,4.6,23.1,6.3,0
6037480400,2014,13.4387,10.1,0.5,0,28.8,11.6,3.1,1.6,11.1,24.5,0
6037480802,2014,13.6739,12,1.7,0,52.1,20.1,7.1,4.1,8.3,8.5,1
6037480803,2014,13.4387,12.1,0.3,0.3,50.4,25.8,13.2,5.6,4.9,14.4,1
6037480804,2014,13.4387,9.9,1.2,0,44.1,12.3,6.4,6.3,17,10.5,1
6037480901,2014,13.4387,10.3,1.8,0,30.1,20.4,5.8,4.8,12.5,3.7,0
6037480902,2014,13.6739,11.1,0.1,0,43.3,22.8,10.9,3.9,18.7,5.2,1
